Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Anthony Davis,C,30,LAL,76,2700,29,684,421,266,91,178,177,1876
Johnny Davis,SG,21,WAS,50,613,14,48,14,32,18,10,57,152
JD Davison,SG,21,BOS,8,39,3,2,3,10,1,1,4,16
Dexter Dennis,SG,24,DAL,4,30,1,9,1,4,0,1,1,22
DeMar DeRozan,SF,34,CHI,79,2989,75,575,522,421,90,45,161,1897
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Moussa Diabaté,C,22,LAC,11,64,0,10,9,4,5,1,4,29
Mamadi Diakite,PF,27,TOT,6,24,0,4,4,2,1,1,2,12
Mamadi Diakite,PF,27,SAS,3,16,0,4,4,2,0,1,1,12
Mamadi Diakite,PF,27,NYK,3,8,0,0,0,0,1,0,1,0
Hamidou Diallo,SG,25,WAS,2,5,0,1,0,1,2,0,1,2
Gradey Dick,SG,20,TOR,60,1268,88,101,44,68,34,2,87,510
Ousmane Dieng,PF,20,OKC,33,365,21,28,14,37,8,5,22,133
Spencer Dinwiddie,PG,30,TOT,76,2152,124,127,169,356,51,22,138,795
Spencer Dinwiddie,PG,30,BRK,48,1474,89,106,125,288,38,9,86,604
Spencer Dinwiddie,PG,30,LAL,28,678,35,21,44,68,13,13,52,191
Donte DiVincenzo,SG,27,NYK,81,2360,283,162,86,216,107,36,166,1259
Luka Dončić,PG,24,DAL,70,2624,284,520,478,686,99,38,149,2370
Luguentz Dort,SF,24,OKC,79,2246,156,132,128,113,72,47,228,860
Ayo Dosunmu,SG,24,CHI,76,2212,119,241,85,242,68,36,166,924
Jeff Dowtin,PG,26,PHI,12,142,9,11,3,27,7,1,1,52
Henri Drell,SF,23,CHI,4,30,2,2,1,4,2,1,6,11
Andre Drummond,C,30,CHI,79,1351,0,267,129,37,73,48,140,663
Chris Duarte,SF,26,SAC,59,719,44,36,26,44,28,8,80,230
David Duke Jr.,SG,24,SAS,4,51,3,7,3,5,2,0,4,26
Kris Dunn,PG,29,UTA,66,1249,41,106,22,254,68,28,135,357
Kevin Durant,PF,35,PHO,75,2791,168,583,362,378,69,91,133,2032
Jalen Duren,C,20,DET,61,1777,0,349,143,147,33,47,192,841
Tari Eason,PF,22,HOU,22,480,18,70,21,27,31,19,51,215
Anthony Edwards,SG,22,MIN,79,2770,190,528,423,405,101,42,141,2049
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Kessler Edwards,SF,23,SAC,54,275,20,14,5,15,10,4,26,93
Keon Ellis,SG,24,SAC,57,978,70,37,26,85,51,29,112,310
Joel Embiid,C,29,PHI,39,1309,54,396,399,219,46,66,112,1353
Drew Eubanks,C,26,PHO,75,1169,3,149,72,63,27,61,115,379
Tosan Evbuomwan,SF,22,TOT,17,367,12,24,17,16,6,5,23,101
Tosan Evbuomwan,SF,22,MEM,4,74,2,2,0,6,0,1,5,10
Tosan Evbuomwan,SF,22,DET,13,293,10,22,17,10,6,4,18,91
Dante Exum,PG,28,DAL,55,1088,53,108,53,157,22,5,85,428
Bruno Fernando,C,25,ATL,45,682,0,109,64,46,25,28,107,282
Dorian Finney-Smith,PF,30,BRK,68,1934,117,98,33,107,56,38,150,580
Adam Flagler,SG,24,OKC,2,14,1,0,0,4,0,0,0,3
Malachi Flynn,PG,25,TOT,69,876,56,80,52,130,38,8,66,380
Malachi Flynn,PG,25,TOR,31,474,28,28,17,73,18,6,42,157
Malachi Flynn,PG,25,NYK,14,60,4,5,9,6,1,0,3,31
Malachi Flynn,PG,25,DET,24,342,24,47,26,51,19,2,21,192
Simone Fontecchio,SF,28,TOT,66,1644,134,118,54,101,44,23,110,692
Simone Fontecchio,SF,28,UTA,50,1160,91,70,32,73,30,18,81,445
Simone Fontecchio,SF,28,DET,16,484,43,48,22,28,14,5,29,247
Jordan Ford,PG,25,SAC,6,22,2,2,2,2,0,0,0,12
Trent Forrest,SG,25,ATL,38,414,2,32,13,92,11,3,25,83
Evan Fournier,SG,31,TOT,32,580,33,46,29,48,29,7,48,220
Evan Fournier,SG,31,NYK,3,39,2,2,2,3,4,0,4,12
Evan Fournier,SG,31,DET,29,541,31,44,27,45,25,7,44,208
De'Aaron Fox,PG,26,SAC,74,2659,214,506,312,418,150,31,193,1966
Javon Freeman-Liberty,PG,24,TOR,22,403,10,45,33,40,10,4,28,153
Alex Fudge,SF,20,TOT,6,40,1,5,2,0,3,0,2,15
Alex Fudge,SF,20,LAL,4,14,0,1,2,0,0,0,1,4
Alex Fudge,SF,20,DAL,2,26,1,4,0,0,3,0,1,11
